Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",655000.0,4,2,2,Condominium,"Built-up : 1,094 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1400000.0,4,4,2,Condominium,"Built-up : 1,496 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",7975250.0,5,6,2,Condominium,"Built-up : 2,975 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",1100000.0,3,2,2,Condominium,"Built-up : 1,200 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1238000.0,2,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished
"Bangsar South, Kuala Lumpur",750000.0,2,2,1,Condominium,Built-up : 823 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur",2100000.0,4,4,2,Condominium,"Built-up : 2,153 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1500000.0,3,2,2,Condominium,"Built-up : 1,200 sq. ft.",Fully Furnished
"Mont Kiara, Kuala Lumpur",2300000.0,5,6,3,Condominium,"Built-up : 2,702 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",990000.0,4,3,2,Condominium,"Built-up : 1,313 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",3960000.0,4,4,2,Condominium,"Built-up : 2,195 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2700000.0,2,2,2,Condominium,"Built-up : 1,184 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1900000.0,2,2,1,Condominium,"Built-up : 1,087 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur",5460000.0,8,9,6,Landed,"Built-up : 7,000 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2050000.0,4,5,2,Condominium,"Built-up : 2,356 sq. ft.",Fully Furnished
"Bangsar South, Kuala Lumpur",1121800.0,3,2,1,Condominium,"Built-up : 1,200 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1506300.0,2,1,1,Condominium,"Built-up : 1,020 sq. ft.",Fully Furnished
"Bangsar, Kuala Lumpur",1530000.0,4,3,2,Condominium,"Built-up : 2,095 sq. ft.",Fully Furnished
"Ampang, Kuala Lumpur",3680000.0,7,8,4,Luxury,Land area : 6300 sq. ft.,Unfurnished
"KLCC, Kuala Lumpur",3600000.0,4,5,2,Condominium,"Built-up : 3,897 sq. ft.",Partly Furnished
"Sri Hartamas, Kuala Lumpur",14800000.0,6,6,4,Luxury,Land area : 8611 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur",1480000.0,5,4,2,Condominium,"Built-up : 1,917 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur",1050000.0,3,2,2,Condominium,"Built-up : 1,485 sq. ft.",Fully Furnished
"Klcc, Kuala Lumpur",1200019.0,2,2,1,Condominium,Built-up : 577 sq. ft.,Partly Furnished
"Bukit Kiara, Kuala Lumpur",4988888.0,5,6,3,Landed,Land area : 24x85 sq. ft.,Partly Furnished
"Mont Kiara, Kuala Lumpur",1820000.0,5,4,2,Condominium,"Built-up : 1,830 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1420000.0,4,4,2,Condominium,"Built-up : 1,499 sq. ft.",Partly Furnished
"Mont Kiara, Kuala Lumpur",1830000.0,5,4,2,Condominium,"Built-up : 1,832 sq. ft.",Partly Furnished
"Bukit Kiara, Kuala Lumpur",4988888.0,6,6,3,Landed,Land area : 24x85 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1680000.0,4,2,3,Condominium,"Built-up : 1,159 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",2210000.0,3,3,2,Condominium,"Built-up : 1,502 sq. ft.",Fully Furnished
"KLCC, Kuala Lumpur",1420000.0,2,2,1,Condominium,Built-up : 976 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",3600000.0,5,5,2,Condominium,Land area : 3897 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1238000.0,2,2,1,Condominium,Built-up : 736 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1139000.0,1,1,1,Condominium,Built-up : 751 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",2930000.0,2,2,2,Condominium,"Built-up : 1,114 sq. ft.",Fully Furnished
"Damansara Heights, Kuala Lumpur",1620000.0,2,2,1,Condominium,"Built-up : 1,194 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",1300000.0,3,3,2,Condominium,"Built-up : 1,367 sq. ft.",Partly Furnished
"Country Heights Damansara, Kuala Lumpur",8000000.0,7,7,6,Luxury,Land area : 10600 sq. ft.,Partly Furnished
"Damansara Heights, Kuala Lumpur",6500000.0,6,4,6,Luxury,Land area : 7880 sq. ft.,Partly Furnished
"Bangsar, Kuala Lumpur",1600000.0,3,2,2,Townhouse,"Built-up : 2,400 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",1730000.0,4,3,2,Condominium,"Built-up : 1,690 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur",1500000.0,4,2,2,Condominium,"Built-up : 1,346 sq. ft.",Fully Furnished
"Desa ParkCity, Kuala Lumpur",1500000.0,4,3,2,Condominium,"Built-up : 1,400 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",1180000.0,3,3,2,Condominium,"Built-up : 1,507 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",2950000.0,4,4,2,Condominium,"Built-up : 2,674 sq. ft.",Partly Furnished
"Bangsar South, Kuala Lumpur",490000.0,1,1,1,Condominium,Built-up : 520 sq. ft.,Fully Furnished
"KLCC, Kuala Lumpur",3090000.0,2,2,2,Condominium,"Built-up : 1,572 sq. ft.",Partly Furnished
"KLCC, Kuala Lumpur",1230000.0,4,4,2,Condominium,"Built-up : 1,378 sq. ft.",Fully Furnished
"Jalan Klang Lama (Old Klang Road), Kuala Lumpur",350000.0,3,2,1,Condominium,Built-up : 950 sq. ft.,Partly Furnished
"KLCC, Kuala Lumpur",1230000.0,1,1,1,Condominium,Built-up : 850 sq. ft.,Fully Furnished
"Desa ParkCity, Kuala Lumpur",1250000.0,3,2,2,Condominium,"Built-up : 1,303 sq. ft.",Partly Furnished
"Desa ParkCity, Kuala Lumpur",2500000.0,4,5,3,Landed,Land area : 22x62 sq. ft.,Partly Furnished
